SAE Grade,Conditions,tensile strength,yield strength,Hardness (HB),C (Min),C (Max),Mn (Min),Mn (Max),P (Min),P (Max),S (Min),S(Max),Si (Min),Si (Max),Ni (Min),Ni (Max),Cr (Min),Cr (Max),Mo (Min),Mo (Max),Ti (Min),Ti (Max)
1045,Cold drawn,625,530,179,0.43,0.5,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1046,Hot rolled,585,325,170,0.43,0.5,0.7,1,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1046,Cold drawn,650,545,187,0.43,0.5,0.7,1,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1049,Hot rolled,600,330,179,0.46,0.53,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1049,Cold drawn,670,560,197,0.46,0.53,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1050,Hot rolled,675,365,190,0.48,0.55,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1050,Cold drawn,690,580,197,0.48,0.55,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1055,Hot rolled,650,355,192,0.5,0.6,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1055,Cold drawn,660,560,197,0.5,0.6,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1060,Hot rolled,700,390,206,0.55,0.65,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1060,Cold drawn,670,490,183,0.55,0.65,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1064,Hot rolled,680,495,201,0.6,0.7,0.5,0.8,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1064,Cold drawn,680,495,183,0.6,0.7,0.5,0.8,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1065,Hot rolled,705,510,207,0.6,0.7,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1065,Cold drawn,690,500,187,0.6,0.7,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1070,Hot rolled,750,540,212,0.65,0.75,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1070,Cold drawn,705,510,192,0.65,0.75,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1074,Hot rolled,795,565,217,0.7,0.8,0.5,0.8,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1074,Cold drawn,725,525,192,0.7,0.8,0.5,0.8,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1078,Hot rolled,810,580,207,0.72,0.85,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1078,Cold drawn,750,540,192,0.72,0.85,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1080,Hot rolled,860,610,229,0.75,0.85,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1080,Cold drawn,770,550,192,0.75,0.85,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1084,Hot rolled,735,550,241,0.8,0.93,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1084,Cold drawn,795,565,192,0.8,0.93,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1085,Hot rolled,765,575,248,0.8,0.95,0.7,1,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1085,Cold drawn,800,570,192,0.8,0.95,0.7,1,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1086,Hot rolled,770,425,229,0.8,0.93,0.3,0.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1086,Cold drawn,810,580,192,0.8,0.93,0.3,0.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
